months_since_peak,Feb. 2020,Dec. 2007,Mar. 2001,Jul. 1990,Jul. 1981,Jan. 1980,Nov. 1973,Dec. 1969
0,0,0,0,0,0,0,0,0
1,-0.9822693175260976,0.007948436325799179,-0.21394080468861823,-0.1893939393939394,-0.03930088099474897,0.09140969162995595,0.14245379876796713,-0.09123959517693463
2,-14.419949640665164,-0.049135788195849475,-0.2538663773945927,-0.2786276223776224,-0.13536970120413533,0.21365638766519826,0.23100616016427106,0.08983590909728949
3,-12.687536064627814,-0.08454245910168218,-0.33748408626936954,-0.416120337995338,-0.24126374166220893,0.053964757709251104,0.42864476386036965,0.2947740767254811
4,-9.733515186486912,-0.2579628880282097,-0.42938823476236754,-0.5554341491841492,-0.46942718965950153,-0.4185022026431718,0.4825462012320329,0.15019441052203084
5,-8.823375124586896,-0.3858604543615238,-0.5416318259546354,-0.5991404428904429,-0.770733943952577,-0.7698237885462555,0.5929158110882957,-0.16423127131848234
6,-7.7316004826102915,-0.5094225099716747,-0.7352331879439837,-0.700211247086247,-1.1309920197377759,-1.0572687224669604,0.8072381930184804,-0.29758144888477145
7,-7.1289933378796615,-0.6510491935950055,-0.9740333114872651,-0.9924970862470862,-1.1331754020152618,-0.7720264317180617,0.8778234086242299,-0.2638929829732879
8,-6.704742170697162,-0.8519278571015665,-1.209066871567719,-1.138184731934732,-1.2740035589131122,-0.6464757709251101,0.9188911704312115,-0.42672056821212506
9,-6.486387242301841,-1.1843170125440778,-1.3295969023782082,-1.3293997668997668,-1.584043842316132,-0.34140969162995594,0.8970739219712526,-0.41689476565460903
10,-6.561795100456382,-1.53188045551766,-1.4275275524117306,-1.4341127622377623,-1.6309865612820822,-0.05837004405286343,0.8855236139630389,-1.0106539773445067
11,-6.220820437496721,-2.057199838140933,-1.5149118247493352,-1.3567162004662003,-1.8951758168578945,0.15748898678414097,0.9111909650924024,-1.1678668182647634
12,-5.755258878455647,-2.5673449332331346,-1.5292247659080807,-1.3949592074592074,-2.270717568585496,NA,0.44276180698151946,-0.6302550497606715
13,-5.293631642448723,-3.133851667726458,-1.6000361590092431,-1.3785693473193474,-2.4432047685068943,NA,-0.34394250513347024,-0.5277859659465758
14,-5.121177149451818,-3.670732412278167,-1.591749719391022,-1.3548951048951048,-2.6397091734806386,NA,-0.8046714579055441,-0.6091997585659943
15,-4.828070083407648,-4.248800508699925,-1.5540840847627442,-1.3357736013986015,-2.9410159277737145,NA,-1.2859342915811087,-0.5348043963448015
16,-4.4628337617373965,-4.750997167466328,-1.6248954778639066,-1.3913170163170163,-3.0731105555616205,NA,-1.6324435318275154,-0.28775564632725537
17,-4.011042333315848,-4.998121278686629,-1.6271554159416033,-1.3621794871794872,-3.089485922642766,NA,-1.873716632443532,0.008422116477870889
18,-3.6720348318732623,-5.33556852997283,-1.6919403075022412,-1.324847027972028,-2.8504055632580427,NA,-1.6632443531827517,NA
19,-3.394009337460001,-5.5812474709520785,-1.5962695955464155,-1.3776587995337997,-2.9300990163862837,NA,-1.7954312114989732,NA
20,-2.9500865551067514,-5.7134805480085555,-1.6060626605497679,-1.3284892191142192,-2.7412364493837402,NA,-1.4758726899383983,NA
21,-2.525835387924251,-5.88762356205561,-1.713786375586642,-1.1882648601398602,-2.442113077368151,NA,-0.9843429158110882,NA
22,-2.1402717305775587,-6.031418001040523,-1.6324286047895622,-1.069893648018648,-2.1364395585201033,NA,-0.8880903490759753,NA
23,-1.8097885957089652,-6.022746979594197,-1.734879130978478,-1.009797494172494,-1.7248719992139825,NA,-0.4876796714579056,NA
24,-1.341604154645124,-6.217122377016013,-1.894581421802376,-0.9387747668997668,-1.2707284854968832,NA,-0.30159137577002054,NA
25,-1.0806273933798456,-6.215677206774958,-1.9360136198934816,-0.8185824592074592,-1.6069693562297354,NA,0.12448665297741274,NA
26,-0.839322247285317,-6.28215503786346,-1.921700678734736,-0.7876238344988344,-0.38645866311503146,NA,NA,NA
27,-0.5862141320883386,-6.151367131048038,-1.9232073041198672,-0.6237252331002331,-0.08842698223818518,NA,NA,NA
28,-0.3940880239206841,-5.984449968206254,-1.9254672421975638,-0.5026223776223776,0.29912337201558936,NA,NA,NA
29,-0.04196611236426585,-5.594254003121567,-1.9571063752853173,-0.29957022144522144,NA,NA,NA,NA
30,NA,-5.694693334874848,-1.8780085425659336,-0.027316433566433568,NA,NA,NA,NA
31,NA,-5.755390484999133,-1.7273460040528223,0.2003205128205128,NA,NA,NA,NA
32,NA,-5.7590034106017685,-1.7122797502015112,NA,NA,NA,NA,NA
33,NA,-5.805971443436037,-1.6264021032490374,NA,NA,NA,NA,NA
34,NA,-5.612318631134747,-1.4900525058946719,NA,NA,NA,NA,NA
35,NA,-5.521995491068847,-1.4478669951110006,NA,NA,NA,NA,NA
36,NA,-5.46996936239089,-1.209066871567719,NA,NA,NA,NA,NA
37,NA,-5.456240245100872,-1.0064257572675843,NA,NA,NA,NA,NA
38,NA,-5.303052199549107,-0.7932382652715316,NA,NA,NA,NA,NA
39,NA,-5.133244696225216,-0.7186603087075414,NA,NA,NA,NA,NA
40,NA,-4.906352968379675,-0.6772281106164357,NA,NA,NA,NA,NA
41,NA,-4.833371871206428,-0.6101832809781012,NA,NA,NA,NA,NA
42,NA,-4.662841782762009,-0.4926665009378743,NA,NA,NA,NA,NA
43,NA,-4.619486675530378,-0.2259938077696671,NA,NA,NA,NA,NA
44,NA,-4.52844095034395,-0.18380829698599593,NA,NA,NA,NA,NA
45,NA,-4.360078617261114,-0.09265746118556352,NA,NA,NA,NA,NA
46,NA,-4.212671252673565,0.02033944269927004,NA,NA,NA,NA,NA
47,NA,-4.117290016763975,NA,NA,NA,NA,NA,NA
48,NA,-3.971327822417481,NA,NA,NA,NA,NA,NA
49,NA,-3.715532689750853,NA,NA,NA,NA,NA,NA
50,NA,-3.5262153881727265,NA,NA,NA,NA,NA,NA
51,NA,-3.352794959246199,NA,NA,NA,NA,NA,NA
52,NA,-3.2935429793629694,NA,NA,NA,NA,NA,NA
53,NA,-3.2212844673102494,NA,NA,NA,NA,NA,NA
54,NA,-3.1685357535117635,NA,NA,NA,NA,NA,NA
55,NA,-3.0587028151916296,NA,NA,NA,NA,NA,NA
56,NA,-2.9344181744609514,NA,NA,NA,NA,NA,NA
57,NA,-2.7992947569223654,NA,NA,NA,NA,NA,NA
58,NA,-2.684403722758541,NA,NA,NA,NA,NA,NA
59,NA,-2.571680443956298,NA,NA,NA,NA,NA,NA
60,NA,-2.3989826001502976,NA,NA,NA,NA,NA,NA
61,NA,-2.260968842129603,NA,NA,NA,NA,NA,NA
62,NA,-2.060090178623042,NA,NA,NA,NA,NA,NA
63,NA,-1.9596508468697613,NA,NA,NA,NA,NA,NA
64,NA,-1.8216370888490665,NA,NA,NA,NA,NA,NA
65,NA,-1.6612231920920286,NA,NA,NA,NA,NA,NA
66,NA,-1.5304352852766057,NA,NA,NA,NA,NA,NA
67,NA,-1.4495057517775594,NA,NA,NA,NA,NA,NA
68,NA,-1.2746401526099773,NA,NA,NA,NA,NA,NA
69,NA,-1.1395167350713913,NA,NA,NA,NA,NA,NA
70,NA,-0.9769350829527719,NA,NA,NA,NA,NA,NA
71,NA,-0.7861726111335916,NA,NA,NA,NA,NA,NA
72,NA,-0.7363142378172148,NA,NA,NA,NA,NA,NA
73,NA,-0.6098618417249552,NA,NA,NA,NA,NA,NA
74,NA,-0.48991271171744033,NA,NA,NA,NA,NA,NA
75,NA,-0.30637609110353203,NA,NA,NA,NA,NA,NA
76,NA,-0.07153592693219261,NA,NA,NA,NA,NA,NA
77,NA,0.08598762934273657,NA,NA,NA,NA,NA,NA
